created_at,entry_id,field1,field2
2020-11-19 11:17:06 CAT,137,31.1,"36.00

"
2020-11-19 11:17:53 CAT,138,31.1,"36.00

"
2020-11-19 11:18:33 CAT,139,31.1,"35.00

"
2020-11-19 11:18:48 CAT,140,31.1,"35.00

"
2020-11-19 11:19:04 CAT,141,31.1,"35.00

"
2020-11-19 11:19:19 CAT,142,31.1,"36.00

"
2020-11-19 11:19:34 CAT,143,31.1,"36.00

"
2020-11-19 11:19:49 CAT,144,31.1,"36.00

"
2020-11-19 11:20:05 CAT,145,31.5,"35.00

"
2020-11-19 11:20:20 CAT,146,31.5,"35.00

"
2020-11-19 11:20:35 CAT,147,31.5,"35.00

"
2020-11-19 11:20:50 CAT,148,31.5,"35.00

"
2020-11-19 11:21:21 CAT,149,31.5,"34.00

"
2020-11-19 11:21:52 CAT,150,31.9,"34.00

"
2020-11-19 11:22:07 CAT,151,31.9,"34.00

"
2020-11-19 11:22:23 CAT,152,31.9,"34.00

"
2020-11-19 11:22:54 CAT,153,31.9,"34.00

"
2020-11-19 11:23:09 CAT,154,31.9,"33.00

"
2020-11-19 11:23:24 CAT,155,32.3,"33.00

"
2020-11-19 11:23:40 CAT,156,32.3,"33.00

"
2020-11-19 11:23:55 CAT,157,32.3,"34.00

"
2020-11-19 11:24:11 CAT,158,31.9,"33.00

"
2020-11-19 11:24:41 CAT,159,31.9,"33.00

"
2020-11-19 11:24:57 CAT,160,32.3,"33.00

"
2020-11-19 11:25:12 CAT,161,31.9,"33.00

"
2020-11-19 11:25:28 CAT,162,32.3,"33.00

"
2020-11-19 11:25:43 CAT,163,31.9,"33.00

"
2020-11-19 11:26:30 CAT,164,32.3,"33.00

"
2020-11-19 11:26:46 CAT,165,31.5,"33.00

"
2020-11-19 11:27:02 CAT,166,31.5,"33.00

"
2020-11-19 11:27:33 CAT,167,31.5,"33.00

"
2020-11-19 11:27:48 CAT,168,31.5,"33.00

"
2020-11-19 11:28:37 CAT,169,31.5,"34.00

"
2020-11-19 11:28:52 CAT,170,31.5,"34.00

"
2020-11-19 11:29:43 CAT,171,31.5,"34.00

"
2020-11-19 11:29:58 CAT,172,31.5,"34.00

"
2020-11-19 11:30:30 CAT,173,31.5,"34.00

"
2020-11-19 11:30:45 CAT,174,31.5,"34.00

"
2020-11-19 11:31:01 CAT,175,31.5,"34.00

"
2020-11-19 11:31:32 CAT,176,31.5,"34.00

"
2020-11-19 11:32:04 CAT,177,31.5,"34.00

"
2020-11-19 11:32:20 CAT,178,31.5,"34.00

"
2020-11-19 11:32:36 CAT,179,31.5,"34.00

"
2020-11-19 11:32:51 CAT,180,31.5,"34.00

"
2020-11-19 11:33:07 CAT,181,31.5,"34.00

"
2020-11-19 11:33:22 CAT,182,31.5,"34.00

"
2020-11-19 11:34:10 CAT,183,31.5,"33.00

"
2020-11-19 11:34:25 CAT,184,31.5,"33.00

"
2020-11-19 11:34:41 CAT,185,31.5,"33.00

"
2020-11-19 11:36:34 CAT,186,32.3,"34.00

"
2020-11-19 11:36:50 CAT,187,31.9,"34.00

"
2020-11-19 11:37:06 CAT,188,31.9,"34.00

"
2020-11-19 11:37:21 CAT,189,31.9,"34.00

"
2020-11-19 11:37:37 CAT,190,31.9,"34.00

"
2020-11-19 11:38:26 CAT,191,32.3,"33.00

"
2020-11-19 11:38:58 CAT,192,32.3,"33.00

"
2020-11-19 11:39:13 CAT,193,32.3,"33.00

"
2020-11-19 11:39:28 CAT,194,32.3,"34.00

"
2020-11-19 11:39:59 CAT,195,32.3,"34.00

"
2020-11-19 11:40:47 CAT,196,31.9,"34.00

"
2020-11-19 11:41:34 CAT,197,31.9,"35.00

"
2020-11-19 11:41:50 CAT,198,31.9,"34.00

"
2020-11-19 11:42:05 CAT,199,32.3,"34.00

"
2020-11-19 11:42:20 CAT,200,31.9,"34.00

"
2020-11-19 11:42:35 CAT,201,31.9,"34.00

"
2020-11-19 11:42:51 CAT,202,31.9,"33.00

"
2020-11-19 11:45:33 CAT,203,31.9,"35.00

"
2020-11-19 11:46:44 CAT,204,31.9,"34.00

"
2020-11-19 11:46:59 CAT,205,31.9,"34.00

"
2020-11-19 11:47:16 CAT,206,31.9,"34.00

"
2020-11-19 11:47:31 CAT,207,31.9,"35.00

"
2020-11-19 11:47:47 CAT,208,31.9,"34.00

"
2020-11-19 11:48:02 CAT,209,31.9,"34.00

"
2020-11-19 11:48:17 CAT,210,31.9,"34.00

"
2020-11-19 11:48:47 CAT,211,32.3,"34.00

"
2020-11-19 11:49:21 CAT,212,31.9,"33.00

"
2020-11-19 11:49:37 CAT,213,31.9,"34.00

"
2020-11-19 11:49:52 CAT,214,32.3,"34.00

"
2020-11-19 11:50:24 CAT,215,32.3,"34.00

"
2020-11-19 11:50:40 CAT,216,32.3,"34.00

"
2020-11-19 11:50:55 CAT,217,32.3,"33.00

"
2020-11-19 11:52:12 CAT,218,31.9,"33.00

"
2020-11-19 11:52:28 CAT,219,31.9,"33.00

"
2020-11-19 11:52:43 CAT,220,31.9,"33.00

"
2020-11-19 11:52:59 CAT,221,31.9,"33.00

"
2020-11-19 11:53:14 CAT,222,31.9,"33.00

"
2020-11-19 11:53:45 CAT,223,31.9,"34.00

"
2020-11-19 11:59:24 CAT,224,31.9,"33.00

"
